manufacturer,country,year_started,year_closed
Siambretta,Argentina,,,
Zanella,Argentina,,,
Motomel,Argentina,,,
Tehuelche,Argentina,,,
Husqvarna,Austria,,,
Delta-Gnom,Austria,1923,1963
Laurin & Klement,Austria,1899,1908
Puch,Austria,1903,1987
KTM,Austria,,,
Thumpstar,Australia,,,
Abbotsford motorcycles,Australia,1912,1913
Absolom motorcycles,Australia,1915,,
Aussi Also,Australia,1920,,
Bennett & Barkell Motorcycles,Australia,1910,1917
Carberry,Australia,2009,2011
Waratah motorcycles,Australia,1911,1948
Hunwick Harrup,Australia,,,
Naz,Azerbaijan,,,
Runner Automobiles,Bangladesh,,,
Walton Hi-Tech Industries Ltd.,Bangladesh,,,
Hero Bangladesh,Bangladesh,,,
MMZ,Belarus,,,
FN,Belgium,1901,1967
Gillet Herstal,Belgium,,,
Minerva,Belgium,1900,1914
Saroléa,Belgium,1901,1960
Brasil & Movimento,Brazil,,,
Dafra Motos,Brazil,,,
Brumana Pugliese,Brazil,1970,1982
Agrale,Brazil,1984,1987
Balkan,Bulgaria,1958,1975
Bombardier/Can-Am (Trikes),Canada,,,
Can-Am,Canada,1973,1987
Moto-Skeeter,Canada,1971,1972
Baotian Motorcycle Company,China,,,
Chang Jiang,China,,,
Dayun,China,,,
Evoke Motorcycles,China,,,
Hero Chini,China,,,
Jincheng Group,China,,,
Jincheng Suzuki,China,,,
Lifan,China,,,
Loncin,China,,,
Qianjiang,China,,,
Qingqi,China,,,
Thumpstar,China,,,
Yinxiang Motorcycle,China,,,
Znen,China,,,
Zongshen,China,,,
AKT,Colombia,,,
Auteco,Colombia,,,
Blata,Czech Republic,,,
Jawa,Czech Republic,,,
Böhmerland,Czech Republic,1923,1939
CZ,Czech Republic,1935,1997
ESO,Czech Republic,1949,1962
Jawa CZ,Czech Republic,,,
Praga Hostivar,Czech Republic,1929,1933
Premier,Czech Republic,1913,1933
Nimbus,Denmark,1919,1959
BMW,East Germany,1945,1952
EMW,East Germany,1952,,
MZ,East Germany,,2009
Helkama,Finland
Tunturi,Finland
Brough Motorcycles,France,,,
Midual,France,,,
Peugeot Scooters,France,,,
Scorpa,France,,,
Sherco,France,,,
Solex,France,,,
Terrot,France,,,
Voxan,France,,,
AGF,France,,,
Aiglon,France,1908,1953
Alcyon,France,1904,1957
Automoto,France
Dollar,France,1925,1939
Dresch,France,1923,1939
Elf,France,,,
Gima,France,,,
Gnome et Rhône,France,1919,1959
Juery,France,1930,1960
Monet-Goyon,France,,,
Motobécane,France,,,
New-Map,France,,,
Nougier,France,,,
Radior,France,,,
Ratier,France,1959,1962
Scorpa,France,1993,2009
Terrot,France
BMW,Germany,,,
Horex,Germany,,,
MZ,Germany,,,
Sommer,Germany,,,
Sachs,Germany,,,
Simson,Germany,,,
DKW,Germany,,,
Adler (automobile),Germany,1900,1957
Ardie,Germany,1919,1957
D-Rad,Germany,1923,1933
DKW,Germany,1919,,
Express,Germany,1933,1958
Hecker,Germany,1922,1957
Hercules,Germany,1904,1996
Hildebrand & Wolfmüller,Germany,1894,1897
Hoffman,Germany,1949,1954
Horex,Germany,1923,1960
Killinger and Freund Motorcycle,Germany,1935,,
Kreidler,Germany,1951,1982
Maico,Germany,1926,1986
Mars,Germany,1903,1958
Megola,Germany,1921,1925
Münch,Germany,1966,1980
Neander,Germany,1924,1932
NSU,Germany,1901,1960
Opel,Germany,1901,1930
Orionette,Germany,1921,1925
Simson,Germany,1948,1963
TWN (Triumph Nürnberg),Germany,1903,1957
Victoria,Germany,1899,1966
Wanderer,Germany,1902,1929
Windhoff,Germany,,,
Zündapp,Germany,1921,1984
Alta,Greece,1962,1972
Lefas,Greece,1982,2005
Maratos,Greece,1950,,
MEBEA,Greece,1960,1975
Mego,Greece,1962,1992
YMC,Greece,2000,2011
Aprilia India (Piaggio Group),India,,,
Bajaj,India,,,
BMW India (Partner with TVS),India,,,
Benelli India (Partner with DSK),India,,,
Ducati India,India,,,
Eicher Motors,India,,,
Hero,India,,,
Honda India,India,,,
Harley-Davidson India,India,,,
Hysoung India (Partner with DSK),India,,,
Indian Motorcycle India,India,,,
Kawasaki India,India,,,
KTM India (Partner with Bajaj),India,,,
Mahindra,India,,,
Moto Guzzi India (Piaggio Group),India,,,
MV Agusta India (Partner with Kinetic),India,,,
Royal Enfield,India,,,
Suzuki India,India,,,
TVS,India,,,
Triumph India (Partner with Bajaj),India,,,
UM India (Partner with LML),India,,,
Vespa India (Piaggio Group),India,,,
Yamaha India,India,,,
Honda Indonesia,Indonesia,,,
Kawasaki Indonesia,Indonesia,,,
Suzuki Indomobil,Indonesia,,,
Yamaha Indonesia,Indonesia,,,
TVS Indonesia,Indonesia,,,
Aermacchi,Italy,,,
Aprilia,Italy,,,
Benelli,Italy,,,
Beta Motor,Italy,,,
Bimota,Italy,,,
Borile,Italy,,,
Cagiva,Italy,,,
Ducati,Italy,,,
Energica Motor Company,Italy,,,
Fantic Motor,Italy,,,
Ghezzi & Brian,Italy,,,
Gilera,Italy,,,
Italjet,Italy,,,
Lambretta,Italy,,,
Minarelli (engines only),Italy,,,
Moto Guzzi,Italy,,,
Moto Morini,Italy,,,
Motobi,Italy,,,
MV Agusta,Italy,,,
Paton,Italy,,,
Piaggio,Italy,,,
SWM,Italy,,,
Terra Modena,Italy,,,
Vyrus,Italy,,,
Honda,Japan,,,
Kawasaki,Japan,,,
Suzuki,Japan,,,
Yamaha,Japan,,,
Daelim,South Korea,,,
KR Motors,South Korea,,,
Hyosung,South Korea,,,
Modenas,Malaysia,,,
Naza,Malaysia,,,
SYM Motors,Malaysia,,,
Hong Leong Yamaha,Malaysia,,,
Kawasaki,Malaysia,,,
KTM,Malaysia,,,
Suzuki,Malaysia,,,
Italika,Mexico,,,
Atlas Honda Bikes,Pakistan,,,
DYL Motorcycles,Pakistan,,,
Pak Suzuki Motors,Pakistan,,,
Ravi Motorcycles (Partner with Derbi & Piaggio),Pakistan,,,
Yamaha Motor Pakistan,Pakistan,,,
SFM Junak,Poland,,,
Junak,Poland,,,
AJP,Portugal,,,
Aliança,Portugal,,,
Conquistador,Portugal,,,
Dural,Portugal,,,
IMZ-Ural,Russia,,,
IZh,Russia,,,
Velomotors,Russia,,,
ZiD as the Voskhod,Russia,,,
Tomos,Slovenia,,,
Bultaco,Spain,,,
Derbi,Spain,,,
Gas Gas,Spain,,,
Montesa,Spain,,,
Ossa,Spain,,,
Rieju,Spain,,,
Sanglas,Spain,,,
Aeon Motor,Taiwan,,,
Gogoro,Taiwan,,,
Kymco,Taiwan,,,
PGO,Taiwan,,,
SYM,Taiwan,,,
Taiwan Golden Bee,Taiwan,,,
A.P. Honda,Thailand,,,
Kanuni,Turkey,,,
Mondial (Ugur Motor Vehicles),Turkey,,,
KMZ,Ukraine,,,
AJS,United Kingdom,,,
Ariel Motor Company,United Kingdom,,,
BSA,United Kingdom,,,
Cheney Racing,United Kingdom,,,
Clews Competition Motorcycles,United Kingdom,,,
Greeves,United Kingdom,,,
Hesketh,United Kingdom,,,
Megelli Motorcycles,United Kingdom,,,
Métisse,United Kingdom,,,
Norton,United Kingdom,,,
Triumph,United Kingdom,,,
Wasp Motorcycles,United Kingdom,,,
Alligator,United States,,,
Arlen Ness,United States,,,
ATK motorcycles,United States,,,
Boss Hoss,United States,,,
Brammo,United States,,,
Cleveland CycleWerks,United States,,,
Confederate Motorcycles,United States,,,
Electric Moto Corporation,United States,,,
Erik Buell Racing,United States,,,
Harley-Davidson,United States,,,
Indian,United States,,,
Janus Motorcycles,United States,,,
MTT,United States,,,
MotoCzysz,United States,,,
Motus,United States,,,
Rokon,United States,,,
Victory Motorcycles,United States,,,
Whizzer (parts and accessories only),United States,,,
Zero Electric,United States,,,
